repo,run,era,start_utc,end_utc,minutes,attribution,min_a,min_b,min_c,min_d,min_e,min_f,attended_frac,top_reason,evidence
aiur,wakeboot-2026-08-21T03:13Z,pre-log,2026-08-21T04:02Z,2026-08-21T04:37Z,34.7,f,0,0,9,4,0,22,1.009,agents working (no output yet),"wake system.fleet.capacity.starved -> system.fleet.capacity.starved.resolved (2026-08-21T03:53Z->2026-08-21T04:17Z) | wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-21T04:00Z->2026-08-21T04:04Z) | labels at start: ci-wait=3, error=3, in-progress=2, rework=5, todo=4 | executor-active-min=19 agent-active-min=12 human-msgs-min=5 | last progress: exec:control by executor # @2026-08-21T04:02Z | next progress: pr:opened by its-applekid #pr2203 @2026-08-21T04:37Z"
aiur,wakeboot-2026-08-21T03:13Z,pre-log,2026-08-21T04:48Z,2026-08-21T05:13Z,24.3,c,0,0,20,5,0,0,1.028,Executor active on this repo while dispatchable work sat undispatched (stranded),"wake system.fleet.capacity.backoff -> system.fleet.capacity.resumed (2026-08-21T04:40Z->2026-08-21T04:51Z) | wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-21T04:48Z->2026-08-21T04:51Z) | labels at start: ci-wait=3, error=3, in-progress=2, rework=5, todo=8 | executor-active-min=6 agent-active-min=0 human-msgs-min=0 | last progress: gh:labeled:priority:2 by its-everdred #2209 @2026-08-21T04:48Z | next progress: review:APPROVED by its-everdred #pr2204 @2026-08-21T05:13Z"
aiur,wakeboot-2026-08-21T03:13Z,pre-log,2026-08-21T05:42Z,2026-08-21T06:24Z,42.1,d,0,0,19,23,0,0,0.997,no capacity: prewarm blocked (never resolved in that daemon boot),"wake system.dispatch.prewarm_blocked @2026-08-21T06:00Z, no resolution before boot end 2026-08-21T06:28Z (2026-08-21T06:00Z->2026-08-21T06:28Z) | wake system.dispatch.capacity_starved @2026-08-21T06:20Z, no resolution before boot end 2026-08-21T06:28Z (2026-08-21T06:20Z->2026-08-21T06:28Z) | labels at start: ci-wait=3, error=3, in-progress=2, rework=5, todo=11 | executor-active-min=10 agent-active-min=0 human-msgs-min=0 | last progress: pr:opened by its-applekid #pr2217 @2026-08-21T05:42Z | next progress: pr:opened by its-applekid #pr2218 @2026-08-21T06:24Z"
aiur,wakeboot-2026-08-21T06:38Z,pre-log,2026-08-21T06:42Z,2026-08-21T07:05Z,23.4,d,0,0,0,23,0,0,0.985,no capacity: prewarm blocked,"wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-21T06:39Z->2026-08-21T07:02Z) | wake system.dispatch.capacity_starved @2026-08-21T06:42Z, no resolution before boot end 2026-08-21T08:30Z (2026-08-21T06:42Z->2026-08-21T08:30Z) | labels at start: ci-wait=3, error=3, in-progress=2, rework=5, todo=12 | executor-active-min=6 agent-active-min=0 human-msgs-min=0 | last progress: gh:labeled:priority:2 by its-everdred #2219 @2026-08-21T06:42Z | next progress: review:APPROVED by its-everdred #pr2215 @2026-08-21T07:05Z"
aiur,wakeboot-2026-08-21T06:38Z,pre-log,2026-08-21T07:31Z,2026-08-21T07:55Z,24.2,d,0,0,0,24,0,0,0.99,no capacity: dispatch capacity starved (never resolved in that daemon boot),"wake system.dispatch.capacity_starved @2026-08-21T06:42Z, no resolution before boot end 2026-08-21T08:30Z (2026-08-21T06:42Z->2026-08-21T08:30Z) | wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-21T07:44Z->2026-08-21T08:04Z) | labels at start: ci-wait=3, error=3, in-progress=2, rework=5, todo=14 | executor-active-min=6 agent-active-min=0 human-msgs-min=0 | last progress: gh:head_ref_force_pushed by its-everdred #2217 @2026-08-21T07:31Z | next progress: pr:opened by its-applekid #pr2222 @2026-08-21T07:55Z"
aiur,wakeboot-2026-08-21T06:38Z,pre-log,2026-08-21T07:56Z,2026-08-21T08:19Z,22.9,d,0,0,0,23,0,0,1.005,no capacity: dispatch capacity starved (never resolved in that daemon boot),"wake system.dispatch.capacity_starved @2026-08-21T06:42Z, no resolution before boot end 2026-08-21T08:30Z (2026-08-21T06:42Z->2026-08-21T08:30Z) | wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-21T07:44Z->2026-08-21T08:04Z) | labels at start: ci-wait=3, error=3, in-progress=2, rework=5, todo=14 | executor-active-min=3 agent-active-min=0 human-msgs-min=0 | last progress: comment by its-everdred #2215 @2026-08-21T07:56Z | next progress: review:APPROVED by its-everdred #pr2222 @2026-08-21T08:19Z"
aiur,wakeboot-2026-08-21T08:41Z,pre-log,2026-08-21T08:44Z,2026-08-21T09:12Z,27.8,d,0,0,0,17,0,11,1.007,no capacity: prewarm blocked,"wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-21T08:42Z->2026-08-21T09:01Z) | wake system.dispatch.capacity_starved -> system.dispatch.capacity_starved.resolved (2026-08-21T08:44Z->2026-08-21T10:09Z) | labels at start: ci-wait=3, error=3, in-progress=2, rework=5, todo=15 | executor-active-min=8 agent-active-min=11 human-msgs-min=0 | last progress: gh:labeled:priority:2 by its-everdred #2223 @2026-08-21T08:44Z | next progress: comment by its-everdred #2214 @2026-08-21T09:12Z"
aiur,wakeboot-2026-08-21T08:41Z,pre-log,2026-08-21T09:21Z,2026-08-21T09:41Z,19.8,f,0,0,0,0,0,20,1.011,agents working (no output yet),"wake system.dispatch.capacity_starved -> system.dispatch.capacity_starved.resolved (2026-08-21T08:44Z->2026-08-21T10:09Z) | wake system.fleet.capacity.backoff -> system.fleet.capacity.resumed (2026-08-21T09:21Z->2026-08-21T09:37Z) | labels at start: ci-wait=3, error=3, in-progress=3, rework=5, todo=16 | executor-active-min=0 agent-active-min=20 human-msgs-min=0 | last progress: comment by its-applekid #2216 @2026-08-21T09:21Z | next progress: wake:ticket.branch.push by agent/wake #2205 @2026-08-21T09:41Z"
aiur,wakeboot-2026-08-21T08:41Z,pre-log,2026-08-21T09:41Z,2026-08-21T10:00Z,19.7,f,0,0,0,0,0,19,0.963,agents working (no output yet),"wake system.dispatch.capacity_starved -> system.dispatch.capacity_starved.resolved (2026-08-21T08:44Z->2026-08-21T10:09Z) | wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-21T09:39Z->2026-08-21T09:41Z) | labels at start: ci-wait=3, error=3, in-progress=3, rework=5, todo=16 | executor-active-min=0 agent-active-min=19 human-msgs-min=0 | last progress: wake:ticket.branch.push by agent/wake #2205 @2026-08-21T09:41Z | next progress: review:APPROVED by its-everdred #pr2211 @2026-08-21T10:00Z"
aiur,wakeboot-2026-08-21T08:41Z,pre-log,2026-08-21T10:21Z,2026-08-21T11:28Z,66.6,f,0,0,0,0,0,67,1.006,agents working (no output yet),"wake system.dispatch.capacity_starved -> system.dispatch.capacity_starved.resolved (2026-08-21T10:18Z->2026-08-21T10:22Z) | wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-21T10:18Z->2026-08-21T10:22Z) | labels at start: ci-wait=3, error=3, in-progress=2, paused=1, rework=5, todo=18 | executor-active-min=6 agent-active-min=65 human-msgs-min=0 | last progress: wake:ticket.branch.push by agent/wake #2214 @2026-08-21T10:21Z | next progress: exec:control by executor # @2026-08-21T11:28Z"
aiur,wakeboot-2026-08-21T08:41Z,pre-log,2026-08-21T11:28Z,2026-08-21T12:14Z,46.5,f,0,0,0,0,0,46,0.989,agents working (no output yet),"wake system.fleet.capacity.starved -> system.fleet.capacity.starved.resolved (2026-08-21T10:30Z->2026-08-21T13:37Z) | wake ticket.agent.attention.github-budget-broker ticket 2205 (2026-08-21T11:26Z->2026-08-21T11:32Z) | labels at start: ci-wait=3, error=3, in-progress=2, paused=1, rework=5, todo=19 | executor-active-min=3 agent-active-min=36 human-msgs-min=0 | last progress: gh:labeled:priority:1 by its-everdred #2228 @2026-08-21T11:28Z | next progress: exec:control by executor # @2026-08-21T12:14Z"
aiur,wakeboot-2026-08-21T08:41Z,pre-log,2026-08-21T12:16Z,2026-08-21T13:17Z,61.2,f,0,0,0,0,0,61,0.996,agents working (no output yet),"wake system.fleet.capacity.starved -> system.fleet.capacity.starved.resolved (2026-08-21T10:30Z->2026-08-21T13:37Z) | wake ticket.agent.attention.github-broker ticket 2131 (2026-08-21T12:17Z->2026-08-21T12:18Z) | labels at start: ci-wait=3, error=3, in-progress=2, paused=1, rework=5, todo=19 | executor-active-min=4 agent-active-min=52 human-msgs-min=0 | last progress: exec:control by executor # @2026-08-21T12:16Z | next progress: gh:unlabeled:agent:todo by aiur-daemon[bot] #2220 @2026-08-21T13:17Z"
aiur,wakeboot-2026-08-21T08:41Z,pre-log,2026-08-21T13:18Z,2026-08-21T14:15Z,56.4,f,0,0,0,0,0,57,1.011,agents working (no output yet),"wake system.fleet.capacity.starved -> system.fleet.capacity.starved.resolved (2026-08-21T10:30Z->2026-08-21T13:37Z) | wake ticket.agent.attention.github-broker ticket 2131 (2026-08-21T13:17Z->2026-08-21T13:19Z) | labels at start: ci-wait=3, error=4, in-progress=2, paused=1, rework=5, todo=18 | executor-active-min=7 agent-active-min=56 human-msgs-min=4 | last progress: comment by its-everdred #2228 @2026-08-21T13:18Z | next progress: exec:control by executor # @2026-08-21T14:15Z"
aiur,wakeboot-2026-08-21T08:41Z,pre-log,2026-08-21T14:17Z,2026-08-21T14:35Z,18.6,f,0,0,0,3,0,15,0.969,agents working (no output yet),"wake system.fleet.capacity.starved -> system.fleet.capacity.starved.resolved (2026-08-21T13:49Z->2026-08-21T14:25Z) | wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-21T14:17Z->2026-08-21T14:21Z) | labels at start: ci-wait=3, error=4, in-progress=2, paused=1, rework=5, todo=18 | executor-active-min=6 agent-active-min=5 human-msgs-min=0 | last progress: comment by its-everdred #2228 @2026-08-21T14:17Z | next progress: pr:opened by its-applekid #pr2229 @2026-08-21T14:35Z"
aiur,wakeboot-2026-08-21T08:41Z,pre-log,2026-08-21T14:49Z,2026-08-21T16:21Z,91.4,d,0,0,0,92,0,0,1.006,no capacity: GitHub budget/broker,"wake ticket.agent.attention.github-broker-unavailable ticket 2214 (2026-08-21T14:22Z->2026-08-21T15:22Z) | wake ticket.agent.attention.github-broker-unavailable ticket 2207 (2026-08-21T14:24Z->2026-08-21T15:24Z) | labels at start: ci-wait=3, error=4, in-progress=2, paused=1, rework=5, todo=19 | executor-active-min=16 agent-active-min=0 human-msgs-min=0 | last progress: gh:labeled:priority:2 by its-everdred #2231 @2026-08-21T14:49Z | next progress: review:APPROVED by its-everdred #pr2230 @2026-08-21T16:21Z"
aiur,wakeboot-2026-08-21T16:30Z,pre-log,2026-08-21T16:42Z,2026-08-21T17:21Z,39.0,f,0,0,0,0,0,39,1.0,agents working (no output yet),"wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-21T16:31Z->2026-08-21T16:42Z) | wake system.dispatch.capacity_starved -> system.dispatch.capacity_starved.resolved (2026-08-21T16:41Z->2026-08-21T17:23Z) | labels at start: ci-wait=3, error=4, in-progress=2, paused=1, rework=5, todo=21 | executor-active-min=7 agent-active-min=39 human-msgs-min=1 | last progress: gh:labeled:priority:3 by its-everdred #2233 @2026-08-21T16:42Z | next progress: exec:control by executor # @2026-08-21T17:21Z"
aiur,wakeboot-2026-08-21T16:30Z,pre-log,2026-08-21T17:29Z,2026-08-21T17:47Z,18.0,f,0,0,0,7,0,11,0.999,agents working (no output yet),"wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-21T17:27Z->2026-08-21T17:31Z) | wake ticket.agent.attention.github-broker ticket 2213 (2026-08-21T17:33Z->2026-08-21T18:12Z) | labels at start: ci-wait=3, error=4, in-progress=2, paused=1, rework=5, todo=21 | executor-active-min=7 agent-active-min=1 human-msgs-min=0 | last progress: exec:control by executor # @2026-08-21T17:29Z | next progress: exec:control by executor # @2026-08-21T17:47Z"
aiur,wakeboot-2026-08-21T16:30Z,pre-log,2026-08-21T17:47Z,2026-08-21T18:12Z,24.5,d,0,0,0,25,0,0,1.02,no capacity: GitHub budget/broker,"wake ticket.agent.attention.github-broker ticket 2213 (2026-08-21T17:33Z->2026-08-21T18:12Z) | wake ticket.agent.attention.github-broker-unavailable ticket 2205 (2026-08-21T17:39Z->2026-08-21T18:12Z) | labels at start: ci-wait=3, error=4, in-progress=2, paused=1, rework=5, todo=22 | executor-active-min=4 agent-active-min=0 human-msgs-min=0 | last progress: gh:labeled:agent:todo by its-everdred #2234 @2026-08-21T17:47Z | next progress: exec:control by executor # @2026-08-21T18:12Z"
aiur,wakeboot-2026-08-21T18:53Z,pre-log,2026-08-21T19:00Z,2026-08-21T19:16Z,16.1,f,0,0,0,0,0,16,0.994,agents working (no output yet),"wake system.fleet.capacity.starved @2026-08-21T18:55Z, no resolution before boot end 2026-08-21T19:31Z (2026-08-21T18:55Z->2026-08-21T19:31Z) | wake ticket.agent.attention.github-broker-unavailable ticket 2138 (2026-08-21T19:04Z->2026-08-21T19:05Z) | labels at start: ci-wait=3, error=4, in-progress=2, paused=1, rework=5, todo=25 | executor-active-min=8 agent-active-min=16 human-msgs-min=0 | last progress: exec:control by executor # @2026-08-21T19:00Z | next progress: pr:merged by its-applekid #pr2162 @2026-08-21T19:16Z"
aiur,wakeboot-2026-08-21T19:38Z,pre-log,2026-08-21T19:54Z,2026-08-21T20:16Z,22.1,f,0,0,0,0,0,22,0.996,agents working (no output yet),"wake system.fleet.capacity.starved -> system.fleet.capacity.starved.resolved (2026-08-21T20:07Z->2026-08-21T20:21Z) | labels at start: ci-wait=2, error=4, in-progress=5, paused=1, rework=4, todo=24 | executor-active-min=2 agent-active-min=22 human-msgs-min=0 | last progress: gh:labeled:agent:in-progress by aiur-daemon[bot] #2138 @2026-08-21T19:54Z | next progress: wake:ticket.branch.push by agent/wake #2201 @2026-08-21T20:16Z"
aiur,wakeboot-2026-08-21T19:38Z,pre-log,2026-08-21T20:37Z,2026-08-21T20:53Z,16.3,f,0,0,0,0,0,16,0.983,agents working (no output yet),"wake system.fleet.capacity.starved -> system.fleet.capacity.starved.resolved (2026-08-21T20:38Z->2026-08-21T21:00Z) | labels at start: ci-wait=2, error=4, human-review=1, in-progress=4, paused=1, rework=5, todo=24 | human-review tickets (age h): #2138(0) | executor-active-min=1 agent-active-min=16 human-msgs-min=0 | last progress: gh:labeled:bug by its-everdred #2241 @2026-08-21T20:37Z | next progress: wake:ticket.branch.push by agent/wake #2205 @2026-08-21T20:53Z"
aiur,wakeboot-2026-08-21T19:38Z,pre-log,2026-08-21T21:22Z,2026-08-21T22:15Z,53.6,d,0,0,0,41,0,12,0.989,no capacity: fleet capacity starved (load governor) (never resolved in that daemon boot),"wake system.fleet.capacity.starved @2026-08-21T21:15Z, no resolution before boot end 2026-08-21T22:30Z (2026-08-21T21:15Z->2026-08-21T22:30Z) | labels at start: ci-wait=2, error=4, human-review=1, in-progress=5, paused=1, rework=5, todo=23 | human-review tickets (age h): #2138(1) | executor-active-min=3 agent-active-min=2 human-msgs-min=0 | last progress: gh:review_requested by its-applekid #2242 @2026-08-21T21:22Z | next progress: exec:control by executor # @2026-08-21T22:15Z"
aiur,wakeboot-2026-08-21T22:32Z,pre-log,2026-08-22T00:30Z,2026-08-22T00:53Z,23.3,f,0,0,0,0,0,23,0.987,agents working (no output yet),"wake system.fleet.capacity.starved -> system.fleet.capacity.starved.resolved (2026-08-21T23:43Z->2026-08-22T01:48Z) | wake system.fleet.capacity.backoff -> system.fleet.capacity.resumed (2026-08-22T00:30Z->2026-08-22T01:18Z) | labels at start: ci-wait=2, error=5, human-review=4, in-progress=8, paused=1, rework=7, todo=14 | human-review tickets (age h): #2131(0) #2205(1) #2201(2) #2138(4) | executor-active-min=0 agent-active-min=23 human-msgs-min=0 | last progress: wake:ticket.pr.opened by agent/wake #2207 @2026-08-22T00:30Z | next progress: wake:ticket.branch.push by agent/wake #2232 @2026-08-22T00:53Z"
aiur,wakeboot-2026-08-21T22:32Z,pre-log,2026-08-22T00:53Z,2026-08-22T01:08Z,15.1,f,0,0,0,0,0,15,0.992,agents working (no output yet),"wake system.fleet.capacity.starved -> system.fleet.capacity.starved.resolved (2026-08-21T23:43Z->2026-08-22T01:48Z) | wake system.fleet.capacity.backoff -> system.fleet.capacity.resumed (2026-08-22T00:30Z->2026-08-22T01:18Z) | labels at start: ci-wait=2, error=5, human-review=4, in-progress=8, paused=1, rework=7, todo=14 | human-review tickets (age h): #2131(1) #2205(1) #2201(2) #2138(5) | executor-active-min=0 agent-active-min=15 human-msgs-min=0 | last progress: wake:ticket.branch.push by agent/wake #2232 @2026-08-22T00:53Z | next progress: pr:opened by its-applekid #pr2252 @2026-08-22T01:08Z"
aiur,wakeboot-2026-08-21T22:32Z,pre-log,2026-08-22T03:45Z,2026-08-22T04:16Z,31.1,f,0,0,0,0,0,31,0.996,agents working (no output yet),"wake system.github.connectivity_lost (2026-08-22T03:37Z->2026-08-22T03:47Z) | wake system.fleet.capacity.backoff -> system.fleet.capacity.resumed (2026-08-22T03:41Z->2026-08-22T04:16Z) | labels at start: ci-wait=2, error=5, human-review=11, in-progress=12, paused=1, rework=4, todo=5 | human-review tickets (age h): #2200(0) #2135(0) #2168(0) #2214(0) #2226(1) | executor-active-min=3 agent-active-min=31 human-msgs-min=0 | last progress: comment by its-applekid #2237 @2026-08-22T03:45Z | next progress: exec:control by executor # @2026-08-22T04:16Z"
